연번, 구분,대여소ID,대여소번호,대여소명,거치대수,위도,경도
1077,양천구,ST-318,711,711. 신일해피트리아파트 앞,20,37.517059,126.848488
1078,양천구,ST-315,708,708. 서울출입국관리사무소 앞,16,37.51897,126.869965
1079,양천구,ST-1016,745,745. 강서초등학교,10,37.522282,126.839699
1080,양천구,ST-1497,756,756. 목동주차장,10,37.52668,126.876167
1081,양천구,ST-312,704,704. 남부법원검찰청 교차로,15,37.523254,126.864906
1082,양천구,ST-1013,742,742. 등촌역 5번 출구 뒤,10,37.550732,126.864578
1083,양천구,ST-1010,739,739. 신월사거리,15,37.536201,126.827797
1084,양천구,ST-1007,736,736. 오솔길공원,10,37.52219,126.8367
1085,양천구,ST-432,720,720. 서울강월초등학교 앞,10,37.516197,126.8349
1086,양천구,ST-1004,733,733. 신정이펜하우스314동,10,37.514099,126.831001
1087,양천구,ST-995,724,724. 계남공원 입구 주출입구 좌측,15,37.510681,126.857399
1088,양천구,ST-428,716,716.신정6동 주민센터 인근,15,37.517281,126.864334
1089,양천구,ST-1000,729,729. 서부식자재마트 건너편,10,37.51038,126.866798
1090,양천구,ST-1400,752,752. 성원2차 아파트,10,37.542183,126.863304
1091,양천구,ST-1505,764,764. 목동청소년수련관,30,37.531029,126.875893
1092,양천구,ST-1398,750,750. 연의근린공원 건너편,10,37.512157,126.835625
1093,양천구,ST-1500,759,759. 보아스아파트 앞,10,37.524071,126.8386
1094,양천구,ST-317,710,710. 서부화물트럭터미널 사거리,12,37.510658,126.842537
1095,양천구,ST-1018,747,747. 목동3단지 상가,10,37.53458,126.875648
1096,양천구,ST-1499,758,758. 한사랑교회 앞,10,37.514721,126.8592
1097,양천구,ST-314,707,707. 신정3동주민센터,10,37.515156,126.854897
1098,양천구,ST-1015,744,744. 신목동역 2번 출구,10,37.543842,126.882545
1099,양천구,ST-1496,755,755. 목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆),10,37.537868,126.881409
1100,양천구,ST-311,703,703. 오목교역 7번출구 앞,12,37.524063,126.87558
1101,양천구,ST-1012,741,741. 화곡로 입구 교차로,10,37.53952,126.825401
1102,양천구,ST-1350,749,749. 이대 목동병원 앞,10,37.537228,126.886612
1103,양천구,ST-309,701,701. 목동사거리 부근,8,37.532803,126.86393
1104,양천구,ST-1006,735,735. 영도초등학교,10,37.53643,126.871521
1105,양천구,ST-997,726,726. 목동3단지 시내버스정류장,15,37.534389,126.869598
1106,양천구,ST-431,719,719. 홍익병원앞 교차로,10,37.530369,126.864258
1107,양천구,ST-1003,732,732. 신월동 이마트,10,37.539551,126.8283
1108,양천구,ST-994,723,723. SBS방송국,15,37.529163,126.872749
1109,양천구,ST-321,714,714. 한국SGI 양천문화회관 앞,10,37.532547,126.830803
1110,양천구,ST-1504,763,763. 목동11단지 아파트,10,37.511318,126.85862
1111,양천구,ST-319,712,712. 강월초교입구 사거리,14,37.516998,126.838318
1112,양천구,ST-316,709,709. 신정3동 현장민원실 앞,20,37.511585,126.84156
1113,양천구,ST-1017,746,746. 목동2단지 상가,10,37.536503,126.877747
