"구명","대여소ID","대여소번호","대여소명","대여소 주소","거치대수","위도","경도"
"강동구","ST-1051","1034","고덕동 래미안 힐스테이트","서울특별시 고덕동 603고덕동 래미안 힐스테이트","15","37.561909","127.150749"
"강동구","ST-1052","1035","고덕역 4번출구","서울특별시 명일동 46-5고덕역 4번출구","20","37.555016","127.155273"
"강동구","ST-1053","1036","고덕동 주양쇼핑","서울특별시 명일동 48-2고덕동 주양쇼핑","10","37.551998","127.153297"
"강동구","ST-1054","1037","강일 6단지","서울특별시 강일동 448-2강일 6단지","10","37.562588","127.177612"
"강동구","ST-1055","1038","강일 다솜 어린이 공원","서울특별시 강일동 333-2강일 다솜 어린이 공원","10","37.568668","127.174797"
"강동구","ST-1056","1039","고덕초등학교","서울특별시 고덕동 215고덕초등학교","7","37.561279","127.167801"
"강동구","ST-1057","1040","강일동 에너지 마루","서울특별시 고덕동 375강일동 에너지 마루","10","37.5672","127.16346"
"강동구","ST-1058","1041","묘곡초등학교","서울특별시 고덕동 499-2묘곡초등학교","10","37.559196","127.153297"
"강동구","ST-1059","1042","강일 25단지 사이","서울특별시 강일동 63-20강일 2.5단지 사이","10","37.568562","127.177002"
"강동구","ST-1061","1044","굽은다리역","서울특별시  양재대로 1572굽은다리역","15","37.545399","127.142601"
"강동구","ST-1369","1047","건강보험 강동지사kt","서울특별시 강동구 천호대로175길 39건강보험 강동지사kt","10","37.536381","127.137253"
"강동구","ST-1370","1048","동부기업(둔촌동)","서울특별시 강동구 진황도로 172동부기업","10","37.531013","127.142365"
"강동구","ST-1371","1049","강일동 10단지 아파트","서울특별시 강동구 고덕로97길 20강일동 10단지 아파트","10","37.56118","127.180267"
"강동구","ST-1420","1050","둔촌역 3번 출입구","서울특별시 강동구 양재대로 1355둔촌역 3번 출입구","15","37.526695","127.135529"
"강동구","ST-1421","1051","양지시장 (용성약국앞) 입구","서울특별시 강동구 고덕로 109양지시장 (용성약국앞) 입구","15","37.554829","127.137321"
"강동구","ST-1593","1052","리싸이클시티","서울특별시 강동구 동남로 930리싸이클시티","10","37.556469","127.156822"
"강동구","ST-1594","1053","동명근린공원 진입로 (아리수로)","서울특별시 강동구 아리수로 324동명근린공원 진입로 (아리수로)","8","37.562538","127.164528"
"강동구","ST-1595","1054","말우물 어린이 공원","서울특별시 강동구 상일로21길 14-7말우물 어린이 공원","10","37.560009","127.169579"
"강동구","ST-1597","1056","강일리엔파크 7~11단지","서울특별시 강동구 아리수로98길 25강일리엔파크 7~11단지","10","37.563332","127.179092"
"강동구","ST-1598","1057","능골근린공원","서울특별시 강동구 상일로12길 60능골근린공원","15","37.55579","127.173813"
"강동구","ST-1623","1058","고덕숲 아이파크 1","서울특별시 강동구 고덕로80길 134고덕숲 아이파크","12","37.553471","127.165001"
"강동구","ST-1626","1059","레미안 강동팰리스(102동)","서울특별시 강동구 천호대로 1077레미안 강동팰리스(102동)","15","37.538181","127.131752"
"강동구","ST-1620","1060","천일초교 사거리","서울특별시 강동구 구천면로 275천일초교 사거리","8","37.544659","127.132637"
"강동구","ST-1621","1061","천호초교 입구 사거리(일주빌딩)","서울특별시 강동구 구천면로 304일주빌딩","10","37.546928","127.134621"
"강동구","ST-1622","1062","고덕숲 아이파크 2","서울특별시 강동구 고덕로80길 134고덕숲 아이파크","15","37.551079","127.162621"
"강북구","ST-948","1501","미아역 3번4번 출구 사이","서울특별시 강북구 도봉로 196미아역 34번 출구 사이","9","37.62608","127.026482"
"강북구","ST-643","1503","이디야 커피 수유역점 앞","서울특별시 강북구 도봉로 355이다야 커피 수유점앞","12","37.639278","127.026756"
"강북구","ST-644","1504","다이소 삼양시장점","서울특별시 강북구 삼양로 234다이소 삼양시장점","10","37.624157","127.018623"
"강북구","ST-645","1506","강북문화예술회관","서울특별시 강북구 삼각산로 85강북문화예술회관","20","37.640327","127.013359"
"강북구","ST-859","1509","서울북부수도사업소","서울특별시 강북구 한천로 935번동 386-17","10","37.634377","127.035751"
"강북구","ST-860","1510","번동주공5단지 관리사무소 앞","서울특별시 강북구 오현로25마길 27번동 230","10","37.633717","127.035515"
"강북구","ST-861","1511","번동 금호어울림아파트102동앞","서울특별시 강북구 오현로31길 85-7번동 656-2","9","37.631123","127.036034"
"강북구","ST-862","1512","강북중학교 앞","서울특별시 강북구 한천로150길 67수유동 694-2","20","37.644737","127.026566"
"강북구","ST-863","1513","강북구청 뒷편","서울특별시 강북구 도봉로89길 13수유동 192-59","20","37.639671","127.0252"
"강북구","ST-646","1514","강북구청 사거리 버스정류소 앞","서울특별시 강북구 한천로 1009강북구청 사거리 버스정류소","10","37.638805","127.028358"
"강북구","ST-648","1515","송천동 주민센터","서울특별시 강북구 솔샘로 284송천동 주민센터","10","37.618286","127.024048"
"강북구","ST-652","1516","우이초등학교 후문 옆","서울특별시 강북구 삼양로99길 33우이초등학교 후문 옆","10","37.638706","127.015907"
"강북구","ST-654","1518","SK telecom(수유직영점) 앞","서울특별시 강북구 삼양로 439SK telecom(수유직영점)","10","37.643085","127.016167"
"강북구","ST-651","1519","세븐일레븐 수유장미원점 앞","서울특별시 강북구 삼양로 474수유동 317-3","10","37.645451","127.015617"
"강북구","ST-650","1520","성실교회","서울특별시 강북구 노해로 50수유동 140","10","37.639862","127.022789"
"강북구","ST-864","1522","월드전기조명인테리어(우이동)","서울특별시 도봉구 삼양로 574우이동 100-13","10","37.654472","127.012756"
"강북구","ST-647","1525","미아동 복합청사","서울특별시 강북구 솔매로49길 14미아동 195-1","10","37.62714","127.026695"
"강북구","ST-1100","1526","수유동 채선당앞","서울특별시 강북구 수유동 140수유동 채선당앞","8","37.641739","127.024628"
"강북구","ST-1101","1527","미아역 1번 출구 뒤","서울특별시 강북구 미아동 194-1미아역 1번 출구 뒤","10","37.627335","127.026054"
"강북구","ST-1102","1528","삼각산동 주민센터","서울특별시 미아동 813-8삼각산동 주민센터","10","37.615036","127.020699"
"강북구","ST-1103","1529","미아동 한국전력공사","서울특별시 미아동 194-1미아동 한국전력공사","15","37.63018","127.02491"
"강북구","ST-1104","1530","광산사거리","서울특별시 강북구 노해로 87 광산사거리","10","37.643551","127.022346"
"강북구","ST-1105","1531","미아사거리 1번 출구","서울특별시 강북구 미아동 66-1미아사거리 1번 출구","10","37.613956","127.030251"
"강북구","ST-1106","1532","번3동 주민센터 교차로","서울특별시 강북구 번동 2-2번3동 주민센터 교차로","10","37.626354","127.047447"
"강북구","ST-1107","1533","번동 주공3 4단지 교차로","서울특별시 강북구 번동 254번동 주공3 4단지 교차로","10","37.629917","127.040916"
"강북구","ST-1108","1534","북서울 꿈의 숲 동문","서울특별시 강북구 번동 105북서울 꿈의 숲 동문","20","37.619637","127.044533"
"강북구","ST-1109","1535","효성인텔리안 앞","서울특별시 수유동 230-7효성인텔리안 앞","10","37.636292","127.023376"
"강북구","ST-1110","1536","번동 두산위브 101동 옆","서울특별시 번동 386-17번동 두산위브 101동 옆","20","37.636261","127.032173"
"강북구","ST-1387","1537","북한산 우이역","서울특별시 강북구 삼양로 670북한산 우이역","10","37.663666","127.012428"
"강북구","ST-1388","1538","솔밭공원역","서울특별시 강북구 삼양로 595솔밭공원역","8","37.656158","127.013138"
"강북구","ST-1389","1539","419민주묘지역","서울특별시 강북구 삼양로 5194.19민주묘지역","10","37.649673","127.013451"
"강북구","ST-1390","1540","가오리역","서울특별시 강북구 삼양로 426가오리역","10","37.64167","127.016884"
"강북구","ST-1391","1541","삼양역","서울특별시 강북구 삼양로 263삼양역","10","37.62653","127.018059"
"강북구","ST-1392","1542","삼양사거리역","서울특별시 강북구 삼양로 197삼양사거리역","10","37.621552","127.02037"
"강북구","ST-1423","1543","수유1동 주민센터","서울특별시 강북구 삼양로 299수유1동 주민센터","10","37.630188","127.017738"
"강북구","ST-1614","1545","솔샘역 2번 출구","서울특별시 강북구 솔샘로 195솔샘역 2번 출구","10","37.62038","127.01368"
"강북구","ST-1665","1546","송천동우체국","서울특별시 강북구 도봉로 71송천동우체국","10","37.615459","127.029701"
"강서구","ST-507","1101","개화동상사마을종점 버스정류장","서울특별시 강서구 개화동로5길 3-8강서구 개화동 424-2","10","37.581612","126.798599"
"강서구","ST-508","1102","방화사거리 마을버스 버스정류장","서울특별시 강서구 양천로17길 6강서구 방화동 769-23","10","37.573643","126.811806"
"강서구","ST-831","1103","방화역 4번출구앞","서울특별시 강서구 금낭화로 135강서구 방화동 829-8","10","37.577221","126.812195"
"강서구","ST-509","1105","방화근린공원","서울특별시 강서구 금낭화로 176강서구 방화동 855","10","37.581623","126.812653"
"강서구","ST-824","1106","신방화사거리","서울특별시 강서구 방화대로 342신방화 사거리","10","37.573032","126.816452"
"강서구","ST-510","1108","공항시장역 1번출구","서울특별시 강서구 방화동로 지하 30강서구 방화동 612-249","8","37.56356","126.81015"
"강서구","ST-511","1109","공항시장역 4번출구","서울특별시 강서구 방화동로 지하 30강서구 공항동 산20-2","6","37.563347","126.810486"
"강서구","ST-828","1110","공항중학교앞","서울특별시 강서구 방화대로 241공항중학교 앞","10","37.562683","126.816238"
"강서구","ST-512","1111","마곡엠밸리6_7단지 마곡중학교","서울특별시 강서구 마곡중앙5로 58강서구 마곡동 743-3","15","37.566982","126.8218"
"강서구","ST-513","1112","마곡엠밸리4단지 정문","서울특별시 강서구 마곡서로 175강서구 마곡동 754-6","15","37.568577","126.824776"
"강서구","ST-514","1113","서남환경공원 버스정류장","서울특별시 강서구 양천로 201강서구 마곡동 222-30","15","37.573093","126.822899"
"강서구","ST-515","1114","서남물재생센터 버스정류장","서울특별시 강서구 양천로 200강서구 마곡동 223-6","15","37.572781","126.826279"
"강서구","ST-833","1115","등촌역 1번출구옆","서울특별시 강서구 공항대로59길 8강서구 등촌동 666-90","10","37.551666","126.86409"
"강서구","ST-834","1117","스타벅스앞","서울특별시 강서구 공항대로 329강서구 등촌동 675-7","10","37.558197","126.844261"
